module	CG07_land_8_20_14_0_80_42_17	CG1_02_42_14	JGI_0000039_J10	Shark_Bay_71	SURF_5	SURF_17	ADurb_Bin101	ADurb_Bin170	UBA6118	UBA2224
M00001	0.8	0.9	0.7777777777777778	0.6	1.0	0.9	0.9	1.0	0.9	0.9
M00002	0.8333333333333334	0.8333333333333334	0.8	0.5	1.0	0.8333333333333334	1.0	1.0	0.8333333333333334	0.8333333333333334
M00003	0.875	0.875	0.625	0.5	0.875	0.75	0.875	0.875	0.75	0.75
M00004	0.42857142857142855	0.7142857142857143	0.5	0.5	0.8571428571428571	0.5714285714285714	0.625	0.875	0.875	0.875
M00005	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
M00006	0.0	0.0	0.6666666666666666	0.3333333333333333	0.5	0.0	0.6666666666666666	1.0	1.0	1.0
M00007	0.5	1.0	0.5	0.5	1.0	0.75	0.75	0.75	0.75	0.75
M00008	0.0	0.0	0.5	0.25	0.0	0.0	0.5	0.75	0.75	0.75
M00009	0.75	0.75	0.5625	0.3125	0.875	0.875	0.5	0.5625	0.75	0.8125
M00010	0.3333333333333333	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.3333333333333333	0.6666666666666666	0.6666666666666666	0.6666666666666666
M00011	1.0	0.8	0.5	0.1	1.0	1.0	0.6	0.5	0.8	0.9
M00012	0.2	0.4	0.4	0.6	0.4	0.4	0.4	0.4	0.2	0.4
M00013	0.0	0.0	0.0	0.0	0.2	0.2	0.2	0.0	0.0	0.0
M00014	0.1111111111111111	0.1111111111111111	0.2222222222222222	0.2222222222222222	0.3333333333333333	0.3333333333333333	0.2222222222222222	0.3333333333333333	0.3333333333333333	0.3333333333333333
M00015	1.0	1.0	1.0	0.6666666666666666	1.0	1.0	1.0	1.0	1.0	1.0
M00016	0.7777777777777778	0.7777777777777778	0.7777777777777778	0.7777777777777778	0.8888888888888888	0.6666666666666666	0.6666666666666666	0.7777777777777778	0.6666666666666666	0.6666666666666666
M00017	0.7142857142857143	0.7142857142857143	1.0	0.7142857142857143	0.5714285714285714	0.14285714285714285	0.7142857142857143	0.7142857142857143	0.7142857142857143	0.7142857142857143
M00018	0.8	0.8	1.0	1.0	0.8	0.2	1.0	1.0	1.0	1.0
M00019	1.0	1.0	1.0	0.375	1.0	1.0	0.875	1.0	1.0	1.0
M00020	0.6666666666666666	0.6666666666666666	0.6666666666666666	1.0	0.3333333333333333	0.6666666666666666	0.3333333333333333	0.6666666666666666	0.6666666666666666	1.0
M00021	1.0	1.0	1.0	0.5	1.0	1.0	1.0	1.0	1.0	1.0
M00022	0.5714285714285714	0.7142857142857143	0.6	0.5	1.0	1.0	0.8571428571428571	0.8571428571428571	1.0	0.8571428571428571
M00023	0.8	0.625	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8
M00024	0.0	0.5	1.0	0.3333333333333333	0.5	0.5	0.5	0.5	0.5	0.5
M00025	0.3333333333333333	0.6666666666666666	1.0	0.0	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666
M00026	0.7777777777777778	0.7777777777777778	0.75	0.6875	0.7777777777777778	0.5555555555555556	0.8888888888888888	0.8333333333333334	0.875	0.875
M00027	0.0	0.0	0.3333333333333333	0.6666666666666666	0.0	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.0	0.3333333333333333
M00028	1.0	1.0	1.0	0.8	1.0	1.0	0.8	1.0	0.8	1.0
M00029	0.6	0.6	0.4	0.4	0.6	0.6	0.6	0.6	0.6	0.6
M00030	0.125	0.125	0.125	0.125	0.0	0.0	0.0	0.125	0.125	0.125
